,userid,foodid
0,0.0,"741.0, 586.0, 108.0, 687.0, 155.0, 523.0, 754.0, 469.0, 881.0, 1031.0"
1,1.0,"164.0, 221.0, 305.0, 407.0, 902.0, 422.0, 592.0, 1009.0, 824.0, 363.0"
2,2.0,"975.0, 280.0, 824.0, 159.0, 77.0, 336.0, 143.0, 484.0, 86.0, 505.0"
3,3.0,"972.0, 476.0, 303.0, 9.0, 387.0, 705.0, 12.0, 904.0, 940.0, 397.0"
4,4.0,"1020.0, 40.0, 155.0, 902.0, 304.0, 532.0, 937.0, 288.0, 180.0, 4.0"
5,5.0,"1014.0, 486.0, 492.0, 781.0, 73.0, 608.0, 147.0, 460.0, 505.0, 143.0"
6,6.0,"296.0, 496.0, 44.0, 119.0, 127.0, 21.0, 118.0, 130.0, 505.0, 492.0"
7,7.0,"608.0, 856.0, 366.0, 405.0, 374.0, 932.0, 423.0, 448.0, 337.0, 280.0"
8,8.0,"0.0, 460.0, 336.0, 143.0, 420.0, 484.0, 77.0, 505.0, 879.0, 109.0"
9,9.0,"924.0, 143.0, 336.0, 460.0, 886.0, 1032.0, 524.0, 366.0, 743.0, 879.0"
10,10.0,"711.0, 460.0, 130.0, 366.0, 505.0, 420.0, 109.0, 821.0, 314.0, 879.0"
11,11.0,"577.0, 423.0, 926.0, 917.0, 282.0, 420.0, 460.0, 336.0, 143.0, 77.0"
12,12.0,"143.0, 460.0, 336.0, 484.0, 420.0, 109.0, 77.0, 505.0, 231.0, 30.0"
13,13.0,"128.0, 532.0, 187.0, 7.0, 282.0, 336.0, 143.0, 77.0, 460.0, 420.0"
14,14.0,"460.0, 505.0, 420.0, 492.0, 60.0, 402.0, 608.0, 147.0, 109.0, 205.0"
15,15.0,"296.0, 677.0, 492.0, 873.0, 366.0, 118.0, 790.0, 486.0, 337.0, 536.0"
16,16.0,"280.0, 667.0, 193.0, 143.0, 336.0, 460.0, 223.0, 420.0, 505.0, 77.0"
17,17.0,"500.0, 10.0, 246.0, 251.0, 460.0, 336.0, 143.0, 420.0, 282.0, 505.0"
18,18.0,"434.0, 932.0, 423.0, 460.0, 282.0, 420.0, 336.0, 387.0, 822.0, 143.0"
19,19.0,"432.0, 280.0, 506.0, 505.0, 460.0, 336.0, 143.0, 109.0, 420.0, 42.0"
20,20.0,"143.0, 336.0, 366.0, 448.0, 280.0, 460.0, 484.0, 420.0, 77.0, 423.0"
